screen_name,date,text
Kejriwal,Mon Jan 30 18:24:30 +0000 2017,b'rt AT_USER AT_USER AT_USER AT_USER AT_USER what a shameful reporting by ht' 
Kejriwal,Mon Jan 30 18:24:14 +0000 2017,b'rt AT_USER AT_USER u r anti aap !! plzz dont spread rumours!! AT_USER AT_USER AT_USER 
Amarinder,Mon Jan 30 18:10:31 +0000 2017,b'rt AT_USER aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings AT_USER AT_USER AT_USER 
Kejriwal,Mon Jan 30 18:04:18 +0000 2017,b'punjab polls: former congress leader bir devinder extends support to aap | AT_USER URL 
Kejriwal,Mon Jan 30 17:45:35 +0000 2017,b'AT_USER AT_USER AT_USER just watched full video nothing wrong \xf0\x9f\x91\x8e how can u say he was drunk ? flying kisses were all around' 
Amarinder,Mon Jan 30 17:28:16 +0000 2017,b'rt AT_USER remembering mahatamagandhi on his death anniversary. .his ideologies live on: AT_USER AT_USER AT_USER AT_USER 
Amarinder,Mon Jan 30 17:05:07 +0000 2017,b'rt AT_USER electiongym punjabpolls punjabelections2017 AT_USER AT_USER AT_USER AT_USER AT_USER kaurtoo\xe2\x80\xa6' 
Kejriwal,Mon Jan 30 17:05:07 +0000 2017,b'rt AT_USER electiongym punjabpolls punjabelections2017 AT_USER AT_USER AT_USER AT_USER AT_USER kaurtoo\xe2\x80\xa6' 
Amarinder,Mon Jan 30 17:02:13 +0000 2017,b'rt AT_USER kaurtoon AT_USER AT_USER voters punjabpoll punjabelections2017 AT_USER AT_USER URL 
Kejriwal,Mon Jan 30 17:02:13 +0000 2017,b'rt AT_USER kaurtoon AT_USER AT_USER voters punjabpoll punjabelections2017 AT_USER AT_USER URL 
Kejriwal,Mon Jan 30 16:57:06 +0000 2017,"b""""AT_USER AT_USER AT_USER AT_USER was it in gurinder singh's house"""""" "
Kejriwal,Mon Jan 30 16:50:00 +0000 2017,b'man at whose house kejriwal stayed in moga is not a militant: aap | AT_USER || AT_USER | AT_USER URL 
Amarinder,Mon Jan 30 16:38:08 +0000 2017,b'rt AT_USER aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings AT_USER AT_USER AT_USER 
Kejriwal,Mon Jan 30 16:35:09 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER must put on list of nri supports on party website with full details # # ' 
Amarinder,Mon Jan 30 16:21:20 +0000 2017,b'rt AT_USER asinhisaadakamboldahai?????? ????? ?? ????? ?? ????? 1 ???? ????? ?? ???? ???? ??? AT_USER AT_USER AT_USER AT_USER 
Amarinder,Mon Jan 30 16:17:17 +0000 2017,b'rt AT_USER asinhisaadakamboldahai AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER 
Amarinder,Mon Jan 30 16:15:39 +0000 2017,b'rt AT_USER aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings AT_USER AT_USER AT_USER 
Amarinder,Mon Jan 30 16:11:20 +0000 2017,b'rt AT_USER aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings AT_USER AT_USER AT_USER 
Amarinder,Mon Jan 30 16:10:23 +0000 2017,b'rt AT_USER barnala engulfed by wave of humanity as AT_USER raises pitch in congress punjabpolls battle AT_USER AT_USER AT_USER 
Badal,Mon Jan 30 15:39:41 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER wow and wow he has dug his own grave further with this comment' 
Kejriwal,Mon Jan 30 15:39:41 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER wow and wow he has dug his own grave further with this comment' 
Badal,Mon Jan 30 15:32:11 +0000 2017,b'rt AT_USER phagwara: bsp supremo AT_USER asks supporters to vote against AT_USER to punish AT_USER at centre AT_USER 
Badal,Mon Jan 30 15:29:31 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER URL 
Kejriwal,Mon Jan 30 15:28:55 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER i think he was giving flying kisses to your mother \xf0\x9f\x98\x98\xf0\x9f\x98\x98' 
Kejriwal,Tue Jan 31 17:11:02 +0000 2017,b'rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER h s pho\xe2\x80\xa6' 
